t,mx,my,mz,E_total,Q,cx_nm,cy_nm
1.5427e-09,0.0634221377568,-0.0596265975553,0.00651411395339,2.36265367573e-18,0.428466788703,-97.5,97.5
1.5527e-09,0.0637996883921,-0.0594698361729,0.00661199285232,2.36276487836e-18,0.428250297805,-97.5,97.5
1.5627e-09,0.0642263725624,-0.0593011124386,0.00672318261864,2.36289072444e-18,0.428075685041,97.5,97.5
1.5727e-09,0.0647178638566,-0.0591041700382,0.00683173293449,2.36302840922e-18,0.42796546876,97.5,97.5
1.5827e-09,0.0652792763129,-0.0588662849107,0.00692090792648,2.36317168158e-18,0.427929798692,97.5,97.5
1.5927e-09,0.0659043858105,-0.0585813044026,0.00697585234601,2.36331255479e-18,0.427966440466,97.5,97.5
1.6027e-09,0.0665767053718,-0.0582509567407,0.00698625216064,2.36344345138e-18,0.428062751845,97.5,97.5
1.6127e-09,0.0672722898107,-0.0578841851286,0.00694845237857,2.36355908852e-18,0.428199261839,97.5,97.5
1.6227e-09,0.0679638091287,-0.0574948137493,0.00686651915824,2.36365757054e-18,0.42835410461,-97.5,97.5
1.6327e-09,0.0686251429453,-0.0570982569296,0.00675190567098,2.36374048053e-18,0.42850713972,-97.5,97.5
1.6427e-09,0.069235615236,-0.0567081337797,0.0066216774978,2.36381212343e-18,0.428642744549,-97.5,97.5
1.6527e-09,0.0697830785629,-0.0563335463786,0.00649559473715,2.36387831359e-18,0.428750991409,-97.5,97.5
1.6627e-09,0.0702653464289,-0.0559775102287,0.00639263227979,2.36394510963e-18,0.42882755145,-97.5,97.5
1.6727e-09,0.070689851216,-0.0556367209157,0.00632765761246,2.36401773276e-18,0.428872783823,-97.5,97.5
1.6827e-09,0.071071750825,-0.0553025867174,0.00630893601135,2.36409973759e-18,0.42889033766,-97.5,97.5
1.6927e-09,0.071430953305,-0.0549632608478,0.00633692145836,2.36419245045e-18,0.428885608465,-97.5,97.5
1.7027e-09,0.0717886613335,-0.0546062485033,0.00640449399788,2.36429473142e-18,0.428864488718,-97.5,97.5
1.7127e-09,0.072164054746,-0.0542210546834,0.00649850761486,2.36440316797e-18,0.428832718369,-97.5,97.5
1.7227e-09,0.0725716332682,-0.0538013201117,0.00660228158621,2.36451277783e-18,0.428795764378,-97.5,97.5
1.7327e-09,0.0730195649027,-0.0533459946289,0.00669853403047,2.36461814399e-18,0.428758902504,-97.5,97.5
1.7427e-09,0.0735091799101,-0.0528593160224,0.00677222464209,2.36471469484e-18,0.428727267673,-97.5,97.5
